Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
16426,000000000000000000;0;2025-05-16;medición de turbidez en circuito de ACS;HOSPITAL DE COSLADA;H001PREVL;FGCOL007;COLECTOR RET ACS SECUNDARIO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001FGCOL;2025-05-18;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16426,000000000000000000;0;2025-05-16;medición de turbidez en circuito de ACS;HOSPITAL DE COSLADA;H001PREVL;FGCOL007;COLECTOR RET ACS SECUNDARIO;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGCOL;2025-05-18;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16425,000000000000000000;0;2025-05-16;parámetros diarios aljibe (RD 487/2022);HOSPITAL DE COSLADA;H001PREVL;FGALJ;DEP. AGUA SANITARIA;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;0;H001;H001FGALJ;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16425,000000000000000000;0;2025-05-16;parámetros diarios aljibe (RD 487/2022);HOSPITAL DE COSLADA;H001PREVL;FGALJ;DEP. AGUA SANITARIA;Validada Gestor;No Urgente;Sin Asignar;H001-FUL;H001_FULCI;H001;H001FGALJ;2025-05-17;;80;41;Comunidad de Madrid;H001;2025-05-16;H001PREVL
16424,000000000000000000;;2025-05-16;limpieza rejillas robot planchado;HOSPITAL DE COSLADA;H001PREV;EQROB;ROBOTS PLANCHADO;Terminada;No Urgente;Sin Asignar;H001-FUL;H001_FULMJ;H001;H001EQROB;2025-08-20;;70;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16424,000000000000000000;;2025-05-16;limpieza rejillas robot planchado;HOSPITAL DE COSLADA;H001PREV;EQROB;ROBOTS PLANCHADO;Terminada;No Urgente;Sin Asignar;H001-FUL;0;H001;H001EQROB;2025-08-20;;70;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16424,000000000000000000;;2025-05-16;limpieza rejillas robot planchado;HOSPITAL DE COSLADA;H001PREV;EQROB;ROBOTS PLANCHADO;Terminada;No Urgente;Sin Asignar;H001-FUL;H001_FULAS;H001;H001EQROB;2025-08-20;;70;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16424,000000000000000000;;2025-05-16;limpieza rejillas robot planchado;HOSPITAL DE COSLADA;H001PREV;EQROB;ROBOTS PLANCHADO;Terminada;No Urgente;Sin Asignar;H001-FUL;H001_FULME;H001;H001EQROB;2025-08-20;;70;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16424,000000000000000000;;2025-05-16;limpieza rejillas robot planchado;HOSPITAL DE COSLADA;H001PREV;EQROB;ROBOTS PLANCHADO;Terminada;No Urgente;Sin Asignar;H001-FUL;H001_FULMM;H001;H001EQROB;2025-08-20;;70;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
16424,000000000000000000;;2025-05-16;limpieza rejillas robot planchado;HOSPITAL DE COSLADA;H001PREV;EQROB;ROBOTS PLANCHADO;Terminada;No Urgente;Sin Asignar;H001-FUL;H001_FULIB;H001;H001EQROB;2025-08-20;;70;41;Comunidad de Madrid;H001;2025-05-16;H001PREV
