Id;Costes (€);Inicio Real;Descripción;Nombre Centro;Tipo Trabajo;Equipo;Desc. Equipo;Desc. Estado;Urgencia;Especialidad;Contratista;Personal;Sector;Familia;Fecha cierre;Factura;Estado;Contrato;CCAA;Centro de Servicio;Fecha Planificada;Tipo de Trabajo
22583;216,44;04/08/2025;Jerez de la Frontera - Clima administración.;JEREZ DE LA FRONTERA;COR;006AAC;Climatizacion;Facturada;No Urgente;Sin Asignar;COMSA01;0;KI1103;AAC;11/08/2025;87001576;90;39;Andalucía;006;04/08/2025;COR
22582;132;06/08/2025;REVISION CLIMATIZACION ZONA ECOGRAFO EN  EL AREA DE   FISIOTERAPIA;LAS PALMAS;COR;100DIM;DIE - Mantenimiento;Facturada;Urgente;CLIMA;MON01;0;EB3501;DEP;06/08/2025;205000599025;90;36;Canarias;100;04/08/2025;COR
22581;;04/08/2025;CA PUERTO DE LA LUZ  -  REVISION SISTEMA DE INCENDIOS URGENTE;LAS PALMAS - PUERTO DE LA LUZ;COR;103DIM;DIE - Mantenimiento;Facturada;Crítica;PCI;JOM04;0;EG3504;DEP;02/09/2025;Coste Cero;90;9;Canarias;103;04/08/2025;COR
22580;35,46;04/08/2025;FALLO CONEXION RED;BENIDORM;COR;402ELE;Electricidad;Facturada;Crítica;ELECTRICIDAD;COMSA01;0;GR0303;ELE;08/10/2025;87002240;90;39;Comunidad Valenciana;402;04/08/2025;COR
22579;29,14;04/08/2025;VALLADOLID_material derivado MPVO CLIMA JULIO 25;VALLADOLID;COR;508AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;DL4701;AAC;04/08/2025;FCTASM2501245;90;34;Castilla y León;508;04/08/2025;COR
22578;80,39;04/08/2025;Material derivado de Mantenimiento preventivo Clima BT;VILLANUEVA DE LA SERENA;COR;551ELE;Electricidad;Facturada;No Urgente;ELECTRICIDAD;ASIME;0;DT0602;ELE;04/08/2025;FCTASM2501251;90;34;Extremadura;551;04/08/2025;COR
22577;14,57;04/08/2025;Material derivado de Mantenimiento preventivo Clima;PINTO;COR;759AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;CI2808;AAC;04/08/2025;FCTASM2501249;90;34;Comunidad de Madrid;759;04/08/2025;COR
22576;8,74;04/08/2025;Material derivado de Mantenimiento preventivo Clima;OFICINAS ELOY GONZALO;COR;750AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;CA2823;AAC;04/08/2025;FCTASM2501249;90;34;Comunidad de Madrid;750;04/08/2025;COR
22575;208,8;04/08/2025;Material derivado de Mantenimiento preventivo Clima;GETAFE;COR;766AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;CP2814;AAC;04/08/2025;FCTASM2501249;90;34;Comunidad de Madrid;766;04/08/2025;COR
22574;8,74;04/08/2025;Material derivado de Mantenimiento preventivo Clima;VILLANUEVA DE LA SERENA;COR;551AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;DT0602;AAC;04/08/2025;FCTASM2501251;90;34;Extremadura;551;04/08/2025;COR
22573;97,48;04/08/2025;Material derivado de Mantenimiento preventivo Clima;BADAJOZ;COR;550AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;DC0601;AAC;05/08/2025;FCTASM2501251;90;34;Extremadura;550;04/08/2025;COR
22572;124,96;09/07/2025;Material derivado de Mantenimiento preventivo Clima;CACERES;COR;553AAC;Climatizacion;Facturada;No Urgente;CLIMA;ASIME;0;DD1001;AAC;09/07/2025;FCTASM2501251;90;34;Extremadura;553;04/08/2025;COR
22570;1601,26;04/08/2025;LEÓN_Puerta accesoria no cierra bien;LEON;COR;502OBC;Reparaciones Generales [Obra Civil];Presupuesto Aceptado;No Urgente;CARPINTERIA;ELECNOR;0;DO2401;OBC;;;50;35;Castilla y León;502;04/08/2025;COR
22567;55,51;04/08/2025;PUERTOLLANO_Puerta zona de revelado RX bloqueada;PUERTOLLANO;COR;303OBC;Reparaciones Generales [Obra Civil];Facturada;No Urgente;CERRAJERÍA;ELECNOR;0;DQ1302;OBC;15/09/2025;5955150400;90;35;Castilla-La Mancha;303;04/08/2025;COR
22566;96,29;04/08/2025;CERROJOS;CHAMARTIN;COR;763OBC;Reparaciones Generales [Obra Civil];Facturada;No Urgente;CERRAJERÍA;ELECNOR;0;CM2828;OBC;04/08/2025;5135025000;90;35;Comunidad de Madrid;763;04/08/2025;COR
22564;88;07/08/2025;PUERTAS AUTOMÁTICAS - AVENIDA LA SALLE 19;SANTA CRUZ DE TENERIFE 2;COR;106PUA01;Puerta Automatica 01 [Acceso Exterior];Facturada;Urgente;ACCESOS Y PUERTAS AUTOMATICAS;MON01;0;EC3803;PUA;07/08/2025;205000637025;90;37;Canarias;106;04/08/2025;COR
22563;;04/08/2025;INSTALACION TECNICA INFORMATICA;TENERIFE SUR;COR;107TELRCK;Rack;En Proceso;No Urgente;COMUNICACIONES;MON01;0;EE3804;TEL;04/08/2025;;40;36;Canarias;107;04/08/2025;COR
